web-scraper-order,web-scraper-start-url,car_page,car_page-href,product_name,price,mileage,sold_by,location,rating,no_of_reviews,fuel_type,city_mpg,highway_mpg,drivetrain,engine,exterior_color,interior_color,stock,transmission,vin,contact_info
1592755664-208,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"See all 25 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $11,997
                            
                                
                                    55,099 mi.
                                    
                                
                        
    
    
                        
                            2015 Honda Civic LX
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX Report
                                
                                    
                            
                    
                        
                            
                                Bernardi Honda of Natick
    
                                        
                                            
                                             () -
                                            (508) 315-6974
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (1369 reviews)
                                    
    
                            
                                12 mi. from 02446
                            
                                
                                    Authorized Honda Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/812492388/overview/,2015 Honda Civic LX,"$11,997 ","55,099 miles",Sold by Bernardi Honda of Natick,"Natick, MA 01760",-4.7,1368 Reviews,Gasoline,28,36,FWD,1.8L I4 16V MPFI SOHC,Crystal Black Pearl,Black / Red,29386,Automatic CVT,19XFB2F54FE255933,(508) 315-6974
1592755491-161,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"See all 20 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,318
                            
                                
                                    30,343 mi.
                                    
                                
                        
    
    
                        
                            2017 Honda Civic LX
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Gray
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Honda Cars of Boston
    
                                        
                                            
                                             () -
                                            (617) 500-8022
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (898 reviews)
                                    
    
                            
                                4 mi. from 02446
                            
                                
                                    Authorized Honda Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/812199756/overview/,2017 Honda Civic LX,"$14,318 ","30,343 miles",Sold by Honda Cars of Boston,"Everett, MA 02149",-4.9,898 Reviews,Gasoline,28,40,FWD,2.0L I4 16V MPFI DOHC,Modern Steel Metallic,Gray,329D,Automatic CVT,19XFC2F58HE216133,(857) 425-2764
1592755738-227,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"See all 14 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $12,963
                            
                                
                                    37,908 mi.
                                    
                                
                        
    
    
                        
                            2017 Honda Civic LX
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Other
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    CARFAX Report
                                
                                    
                            
                    
                        
                            
                                Auto Factory
    
                                        
                                            
                                             () -
                                            (888) 845-0558
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        3.8  (25 reviews)
                                    
    
                            
                                15 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/800437492/overview/,2017 Honda Civic LX,"$12,963 ","37,908 miles",Sold by Auto Factory,"Peabody, MA 01960",-3.8,25 Reviews,Gasoline,28,200911,Automatic CVT,19XFC2F55HE200911,Silver,40,FWD,2.0L I4 16V MPFI DOHC,"37,908",(855) 562-5880
1592755455-150,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"JUST ADDED
                        
                    
    
                        
                            
                                 
                            
    
                            
                                     
                            
                        
    
    
                    
    
                            
                            
                            
                            
                            
                                    
                                        
                                            See all 3 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                        
                
            
    
    
                    
                        
                                
                                    Honda Certified
                                
                        
    
                        
                            
                                    $14,429
                            
                                
                                    35,923 mi.
                                    
                                
                        
    
    
                        
                            2017 Honda Civic LX
                        
    
                        
                            
                                Ext. Color:
    
                                    Blue
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    CARFAX Report
                                
                                    
                            
                    
                        
                            
                                Herb Chambers Honda of Seekonk
    
                                        
                                            
                                             () -
                                            (888) 869-0249
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (3142 reviews)
                                    
    
                            
                                37 mi. from 02446
                            
                        
    
                            
                                
                                    
                                
                                
                                    Certified Pre-Owned
                                
                            
                    
    
                    
                        
    
    
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/814112916/overview/,Certified 2017 Honda Civic LX,"$14,429 ","35,923 miles",Sold by Herb Chambers Honda of Seekonk,"Seekonk, MA 02771",-4.9,3141 Reviews,Gasoline,28,40,Continuously Variable Transmission,"35,923",Cosmic Blue Metallic,Gray,O70739,19XFC2F57HE217841,null,null
1592755723-222,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"Used
                        
    
                        
                            
                                    $14,900
                            
                                
                                    54,134 mi.
                                    
                                
                        
    
    
                        
                            2017 Honda Civic EX
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Grieco Honda
    
                                        
                                            
                                             () -
                                            (888) 473-0902
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.4  (160 reviews)
                                    
    
                            
                                40 mi. from 02446
                            
                                
                                    Authorized Honda Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/812080939/overview/,2017 Honda Civic EX,"$14,900 ","54,134 miles",Sold by Grieco Honda,"Johnston, RI 02919",-4.4,160 Reviews,Gasoline,31,40,FWD,2.0L I4 16V MPFI DOHC,Taffeta White,Black,PH4892,Automatic CVT,2HGFC2F74HH538856,(866) 635-3296
1592755507-166,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"Used
                        
    
                        
                            
                                    $14,900
                            
                                
                                    17,686 mi.
                                    
                                
                        
    
    
                        
                            2017 Honda Civic LX
                        
    
                        
    
                                
                                    
                                        
                                            
                                        
                                    
                                    HOT CAR
                                
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Gray
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Grieco Honda
    
                                        
                                            
                                             () -
                                            (888) 473-0902
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.4  (160 reviews)
                                    
    
                            
                                40 mi. from 02446
                            
                                
                                    Authorized Honda Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/813652853/overview/,2017 Honda Civic LX,"$14,900 ","17,686 miles",Sold by Grieco Honda,"Johnston, RI 02919",-4.4,160 Reviews,Gasoline,28,40,FWD,2.0L I4 16V MPFI DOHC,Gray,Black,H01125A,Automatic CVT,19XFC2F59HE229750,(866) 635-3296
1592755741-228,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"See all 19 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $13,994
                            
                                
                                    33,443 mi.
                                    
                                
                        
    
    
                        
                            2018 Honda Civic LX
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Colonial Honda of Dartmouth
    
                                        
                                            
                                             () -
                                            (508) 938-1050
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (1700 reviews)
                                    
    
                            
                                48 mi. from 02446
                            
                                
                                    Authorized Honda Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/805650636/overview/,2018 Honda Civic LX,"$13,994 ","33,443 miles",Sold by Colonial Honda of Dartmouth,"North Dartmouth, MA 02747",-4.9,1700 Reviews,Gasoline,28,40,FWD,2.0L I4 16V MPFI DOHC,Lunar Silver Metallic,Black,200229A,Automatic CVT,19XFC2F54JE206849,(774) 510-4699
1592755421-138,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"Used
                        
    
                        
                            
                                    $15,000
                            
                                
                                    12,588 mi.
                                    
                                
                        
    
    
                        
                            2017 Honda Civic LX
                        
    
                        
    
                                
                                    
                                        
                                            
                                        
                                    
                                    HOT CAR
                                
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Tasca Automotive Group
    
                                        
                                            
                                             () -
                                            (888) 842-0720
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (5031 reviews)
                                    
    
                            
                                44 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/813843099/overview/,2017 Honda Civic LX,"$15,000 ","12,588 miles",Sold by Tasca Automotive Group,"Cranston, RI 02920",-4.9,5032 Reviews,Gasoline,28,40,FWD,2.0L I4 16V MPFI DOHC,Taffeta White,Gray,IP5371,Automatic CVT,19XFC2F50HE211038,(888) 842-0720
1592755435-143,https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20823&mkId=20017&mlgId=28867&page=1&perPage=100&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446,"See all 24 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $12,800
                            
                                
                                    50,994 mi.
                                    
                                
                        
    
    
                        
                            2015 Honda Civic SE
                        
    
                        
    
                                
                                    
                                        
                                            
                                        
                                    
                                    HOT CAR
                                
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Gray
                            
    
                            
                                Int. Color:
    
                                    Other
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Rockingham Honda
    
                                        
                                            
                                             () -
                                            (603) 685-3448
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (1823 reviews)
                                    
    
                            
                                32 mi. from 02446
                            
                                
                                    Authorized Honda Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call",https://www.cars.com/vehicledetail/detail/813842297/overview/,2015 Honda Civic SE,"$12,800 ","50,994 miles",Sold by Rockingham Honda,"Salem, NH 03079",-4.9,1823 Reviews,Gasoline,30,783751,Automatic CVT,19XFB2F77FE031010,Modern Steel Metallic,39,FWD,1.8L I4 16V MPFI SOHC,"50,994",(603) 685-3448
