web-scraper-order,web-scraper-start-url,car_page,car_page-href,product_name,price,mileage,sold_by,location,rating,no_of_reviews,fuel_type,city_mpg,highway_mpg,drivetrain,engine,exterior_color,interior_color,stock,transmission,vin,contact_info
"1592757101-305","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","See all 16 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,882
                            
                                
                                    27,409 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Camry LE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Great Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Beige
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    CARFAX Report
                                
                                    
                            
                    
                        
                            
                                McGee Toyota of Epping
    
                                        
                                            
                                             () -
                                            (603) 686-7421
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        2.5  (2 reviews)
                                    
    
                            
                                47 mi. from 02446
                            
                                
                                    Authorized Toyota Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/811964640/overview/","2017 Toyota Camry LE","$14,882","27,409 miles","Sold by McGee Toyota of Epping","Epping, NH 03042","(2.5)","2 Reviews","Gasoline","24","33","FWD","2.5L I4 16V MPFI DOHC","Midnight Black Metallic","Almond","P5842","6-Speed Automatic","4T1BF1FK8HU280028","(603) 686-7421"
"1592757203-321","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","See all 32 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,888
                            
                                
                                    53,315 mi.
                                    
                                
                        
    
    
                        
                            2016 Toyota Camry SE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free AutoCheck Report
                                
                                    
                            
                    
                        
                            
                                Avon Auto Brokers
    
                                        
                                            
                                             () -
                                            (508) 436-2796
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (474 reviews)
                                    
    
                            
                                16 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/806153822/overview/","2016 Toyota Camry SE","$14,888","53,315 miles","Sold by Avon Auto Brokers","Avon, MA 02322","(4.7)","474 Reviews","Gasoline","25","35","FWD","2.5L I4 16V MPFI DOHC","Midnight Black Metallic","Black","GU231978","6-Speed Automatic","4T1BF1FK3GU231978","(774) 480-1092"
"1592757237-329","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","See all 29 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,950
                            
                                
                                    58,724 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Camry LE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Beige
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Bertera Nissan
    
                                        
                                            
                                             () -
                                            (866) 970-8026
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        3.9  (41 reviews)
                                    
    
                            
                                38 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/793067660/overview/","2017 Toyota Camry LE","$14,950","58,724 miles","Sold by Bertera Nissan","Auburn, MA 01501","(3.9)","41 Reviews","Gasoline","24","33","FWD","2.5L I4 16V MPFI DOHC","Creme Brulee Mica","Black","19894A","6-Speed Automatic","4T1BF1FK9HU370482","(855) 625-9319"
"1592757462-363","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","See all 26 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $13,000
                            
                                
                                    55,780 mi.
                                    
                                
                        
    
    
                        
                            2015 Toyota Camry XSE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Great Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Red
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX Report
                                
                                    
                            
                    
                        
                            
                                Cambridge Honda
    
                                        
                                            
                                             () -
                                            (617) 674-0755
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.3  (43 reviews)
                                    
    
                            
                                3 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/784281438/overview/","2015 Toyota Camry XSE","$13,000","55,780 miles","Sold by Cambridge Honda","Cambridge, MA 02138","(4.3)","43 Reviews","Gasoline","25","35","FWD","2.5L I4 16V MPFI DOHC","Ruby Flare Pearl","Ash / Black","1908572","6-Speed Automatic","4T1BF1FKXFU994725","(857) 412-7137"
"1592757418-356","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","PRICE DROP
                        
                    
    
                        
                            
                                 
                            
    
                            
                                     
                            
                        
    
    
                    
    
                            
                            
                            
                            
                            
                            
                            
                            
                            
                            
                            
                                    
                                        
                                            See all 30 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,988
                            
                                $564 price drop!
                                
                                    39,811 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Camry SE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Blue
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Ira Toyota of Danvers
    
                                        
                                            
                                             () -
                                            (978) 338-6444
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.4  (699 reviews)
                                    
    
                            
                                16 mi. from 02446
                            
                                
                                    Authorized Toyota Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/810397478/overview/","2017 Toyota Camry SE","$14,988","39,811 miles","Sold by Ira Toyota of Danvers","Danvers, MA 01923","(4.4)","698 Reviews","Gasoline","24","33","FWD","2.5L I4 16V MPFI DOHC","Blue Streak Metallic","Black","HU687458","6-Speed Automatic","4T1BF1FK8HU687458","(978) 338-6444"
"1592756988-282","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","Used
                        
    
                        
                            
                                    $14,888
                            
                                
                                    46,234 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Camry LE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                        
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Beige
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free AutoCheck Report
                                
                                    
                            
                    
                        
                            
                                Toyota of Smithfield
    
                                        
                                            
                                             () -
                                            (401) 312-7438
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.4  (80 reviews)
                                    
    
                            
                                33 mi. from 02446
                            
                                
                                    Authorized Toyota Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/813379377/overview/","2017 Toyota Camry LE","$14,888","46,234 miles","Sold by Toyota of Smithfield","Smithfield, RI 02917","(4.4)","80 Reviews","Gasoline","24","33","FWD","2.5L I4 16V MPFI DOHC","Super White","Almond","P75854","6-Speed Automatic","4T1BF1FK1HU375854","(401) 543-3332"
"1592757211-323","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","See all 8 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $12,947
                            
                                
                                    38,425 mi.
                                    
                                
                        
    
    
                        
                            2014 Toyota Camry LE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Green
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Clay Subaru
    
                                        
                                            
                                             () -
                                            (781) 559-0927
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.8  (555 reviews)
                                    
    
                            
                                11 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/811887224/overview/","2014 Toyota Camry LE","$12,947","38,425 miles","Sold by Clay Subaru","Norwood, MA 02062","(4.8)","554 Reviews","Gasoline","25","35","FWD","2.5L I4 16V MPFI DOHC","Green","Ash","200847A","6-Speed Automatic","4T4BF1FK5ER420019","(781) 531-8052"
"1592757076-300","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","See all 25 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,990
                            
                                
                                    20,221 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Camry LE
                        
    
                        
    
                                
                                    
                                        
                                            
                                        
                                    
                                    HOT CAR
                                
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Bourne's Auto Center
    
                                        
                                            
                                             () -
                                            (508) 219-4522
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (3685 reviews)
                                    
    
                            
                                19 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/813560230/overview/","2017 Toyota Camry LE","$14,990","20,221 miles","Sold by Bourne's Auto Center","Easton, MA 02375","(4.9)","3681 Reviews","Gasoline","24","33","FWD","2.5L I4 16V MPFI DOHC","Black","Black / Gray","63559R","6-Speed Automatic","4T1BF1FK1HU634200","(774) 250-3978"
"1592757231-328","https://www.cars.com/for-sale/searchresults.action/?mdId=20800&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=50&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&zc=02446","See all 6 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $11,900
                            
                                
                                    39,900 mi.
                                    
                                
                        
    
    
                        
                            2013 Toyota Camry LE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    CARFAX Report
                                
                                    
                            
                    
                        
                            
                                1st Stop Auto Sales
    
                                        
                                            
                                             () -
                                            (401) 262-4374
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        3.6  (12 reviews)
                                    
    
                            
                                40 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/786422102/overview/","2013 Toyota Camry LE","$11,900","39,900 miles","Sold by 1st Stop Auto Sales","Providence, RI 02907","(3.6)","12 Reviews","Gasoline","25","35","FWD","2.5L I4 16V MPFI DOHC","Silver","Gray","32712798","6-Speed Automatic","4T1BF1FK3DU208325","(401) 825-0308"
