web-scraper-order,web-scraper-start-url,car_page,car_page-href,product_name,price,mileage,sold_by,location,rating,no_of_reviews,fuel_type,city_mpg,highway_mpg,drivetrain,engine,exterior_color,interior_color,stock,transmission,vin,contact_info
"1592758351-489","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","See all 42 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $12,490
                            
                                
                                    60,690 mi.
                                    
                                
                        
    
    
                        
                            2016 Toyota Corolla L
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Great Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                The Honda Store
    
                                        
                                            
                                             () -
                                            (978) 627-0129
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (118 reviews)
                                    
    
                            
                                31 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/812122806/overview/","2016 Toyota Corolla L","$12,490","60,690 miles","Sold by The Honda Store","Lancaster, MA 01523","(4.9)","118 Reviews","Gasoline","28","37","FWD","4 Cyl - 1.8 L","Black","Black","F119294A","Variable","2T1BURHE4GC530490","(978) 627-0129"
"1592758456-518","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","See all 24 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $13,790
                            
                                
                                    35,480 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Corolla SE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Blue
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Bourne's Auto Center
    
                                        
                                            
                                             () -
                                            (508) 219-4522
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (3685 reviews)
                                    
    
                            
                                19 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/810747666/overview/","2017 Toyota Corolla SE","$13,790","35,480 miles","Sold by Bourne's Auto Center","Easton, MA 02375","(4.9)","3681 Reviews","Gasoline","28","35","FWD","1.8L I4 16V MPFI DOHC","Blue","Black / Gray","63308R","Automatic CVT","2T1BURHE8HC873546","(774) 250-3978"
"1592758362-492","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","See all 25 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $12,292
                            
                                
                                    47,877 mi.
                                    
                                
                        
    
    
                        
                            2015 Toyota Corolla S Plus
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Mastria Volkswagen
    
                                        
                                            
                                             () -
                                            (866) 906-3530
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.9  (183 reviews)
                                    
    
                            
                                30 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/812245370/overview/","2015 Toyota Corolla S Plus","$12,292","47,877 miles","Sold by Mastria Volkswagen","Raynham, MA 02767","(4.9)","183 Reviews","Gasoline","28","37","FWD","1.8L I4 16V MPFI DOHC","Classic Silver Metallic","Black","VW9217B","Automatic","2T1BURHE8FC255978","(877) 448-4347"
"1592758234-453","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","See all 29 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $13,497
                            
                                
                                    39,550 mi.
                                    
                                
                        
    
    
                        
                            2016 Toyota Corolla S Plus
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    Red
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Jaffarian Toyota
    
                                        
                                            
                                             () -
                                            (978) 420-4570
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.8  (2153 reviews)
                                    
    
                            
                                29 mi. from 02446
                            
                                
                                    Authorized Toyota Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/805652835/overview/","2016 Toyota Corolla S Plus","$13,497","39,550 miles","Sold by Jaffarian Toyota","Haverhill, MA 01832","(4.8)","2153 Reviews","Gasoline","29","37","FWD","1.8L I4 16V MPFI DOHC","Red","Black","15600","Automatic CVT","2T1BURHE1GC641370","(978) 971-3167"
"1592757983-384","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","Used
                        
    
                        
                            
                                    $14,999
                            
                                
                                    26,183 mi.
                                    
                                
                        
    
    
                        
                            2018 Toyota Corolla LE
                        
    
                        
    
                                
                                    
                                        
                                            
                                        
                                    
                                    HOT CAR
                                
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Acura of Boston
    
                                        
                                            
                                             () -
                                            (617) 415-5302
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (348 reviews)
                                    
    
                            
                                1 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/813799422/overview/","2018 Toyota Corolla LE","$14,999","26,183 miles","Sold by Acura of Boston","Boston, MA 02135","(4.7)","349 Reviews","Gasoline","28","36","FWD","1.8L I4 16V MPFI DOHC","Black","Black","AL0827A","Automatic CVT","2T1BURHE8JC086571","(617) 415-5302"
"1592758478-525","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","See all 22 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,990
                            
                                
                                    8,304 mi.
                                    
                                
                        
    
    
                        
                            2016 Toyota Corolla S Plus
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    CARFAX Report
                                
                                    
                            
                    
                        
                            
                                Wellesley Toyota
    
                                        
                                            
                                             () -
                                            (781) 489-3698
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.8  (905 reviews)
                                    
    
                            
                                6 mi. from 02446
                            
                                
                                    Authorized Toyota Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/788310836/overview/","2016 Toyota Corolla S Plus","$14,990","8,304 miles","Sold by Wellesley Toyota","Wellesley, MA 02481","(4.8)","905 Reviews","Gasoline","29","37","FWD","1.8L I4 16V MPFI DOHC","Classic Silver Metallic","Steel Gray","P133","Automatic CVT","2T1BURHEXGC714008","(781) 943-6162"
"1592758230-452","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","See all 26 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,998
                            
                                
                                    34,366 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Corolla SE
                        
    
                        
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            Good Deal
                                        
    
                                    
    
    
    
                        
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Sonia's Auto Sales
    
                                        
                                            
                                             () -
                                            (508) 372-4247
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        3.7  (15 reviews)
                                    
    
                            
                                32 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/813488722/overview/","2017 Toyota Corolla SE","$14,998","34,366 miles","Sold by Sonia's Auto Sales","Worcester, MA 01604","(3.7)","15 Reviews","Gasoline","28","35","FWD","1.8L I4 16V MPFI DOHC","Super White","Black","HC861478","Automatic CVT","2T1BURHE1HC861478","(774) 813-3161"
"1592758004-391","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","JUST ADDED
                        
                    
    
    
    
                    
    
                            
                            
                    
                
            
    
    
                    
                        
                                Used
                        
    
                        
                            
                                    $14,990
                            
                                
                                    4,892 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Corolla LE
                        
    
                        
    
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Other / Unknown
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    CARFAX Report
                                
                                    
                            
                    
                        
                            
                                Wellesley Toyota
    
                                        
                                            
                                             () -
                                            (781) 489-3698
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.8  (905 reviews)
                                    
    
                            
                                6 mi. from 02446
                            
                                
                                    Authorized Toyota Dealer
                                
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/814087055/overview/","2017 Toyota Corolla LE","$14,990","4,892 miles","Sold by Wellesley Toyota","Wellesley, MA 02481","(4.8)","905 Reviews","Gasoline","28","36","FWD","1.8L I4 16V MPFI DOHC","Slate Metallic","Ash","P380","7-Speed","2T1BURHE1HC782943","(781) 943-6162"
"1592757954-375","https://www.cars.com/for-sale/searchresults.action/?drCntId=28004&mdId=20861&mkId=20088&mlgId=28866&page=1&perPage=20&prMx=15000&rd=40&searchSource=GN_REFINEMENT&slrTypeId=28878&sort=relevance&stkTypId=28881&yrId=47272%2C51683%2C56007%2C58487%2C30031936%2C35797618&zc=02446","Used
                        
    
                        
                            
                                    $13,999
                            
                                
                                    44,016 mi.
                                    
                                
                        
    
    
                        
                            2017 Toyota Corolla LE
                        
    
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Other
                            
    
                            
                                Transmission:
    
                                    CVT
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                AutoMax Preowned Framingham
    
                                        
                                            
                                             () -
                                            (508) 251-5016
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.7  (1037 reviews)
                                    
    
                            
                                16 mi. from 02446
                            
                        
    
                    
    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/813801915/overview/","2017 Toyota Corolla LE","$13,999","44,016 miles","Sold by AutoMax Preowned Framingham","Framingham, MA 01701","(4.8)","1037 Reviews","Gasoline","28","944532","Automatic CVT","2T1BURHE2HC944532","White","36","FWD","1.8L I4 16V MPFI DOHC","44,016","(774) 556-7034"
